"country","year","currency","inflation","stockmarket","domdebt","extdebt","banking"
"Dominican Rep.",1948,0,0,NA,0,0,0
"Dominican Rep.",1949,0,0,NA,0,0,0
"Dominican Rep.",1950,0,0,NA,0,0,0
"Dominican Rep.",1951,0,0,NA,0,0,0
"Dominican Rep.",1952,0,0,NA,0,0,0
"Dominican Rep.",1953,0,0,NA,0,0,0
"Dominican Rep.",1954,0,0,NA,0,0,0
"Dominican Rep.",1955,0,0,NA,0,0,0
"Dominican Rep.",1956,0,0,NA,0,0,0
"Dominican Rep.",1957,0,0,NA,0,0,0
"Dominican Rep.",1958,0,0,NA,0,0,0
"Dominican Rep.",1959,0,0,NA,0,0,0
"Dominican Rep.",1960,0,0,NA,0,0,0
"Dominican Rep.",1961,0,0,NA,0,0,0
"Dominican Rep.",1962,0,0,NA,0,0,0
"Dominican Rep.",1963,0,0,NA,0,0,0
"Dominican Rep.",1964,0,0,NA,0,0,0
"Dominican Rep.",1965,0,0,NA,0,0,0
"Dominican Rep.",1966,0,0,NA,0,0,0
"Dominican Rep.",1967,0,0,NA,0,0,0
"Dominican Rep.",1968,0,0,NA,0,0,0
"Dominican Rep.",1969,0,0,NA,0,0,0
"Dominican Rep.",1970,0,0,NA,0,0,0
"Dominican Rep.",1971,0,0,NA,0,0,0
"Dominican Rep.",1972,0,0,NA,0,0,0
"Dominican Rep.",1973,0,0,NA,0,0,0
"Dominican Rep.",1974,0,0,NA,0,0,0
"Dominican Rep.",1975,0,0,NA,1,0,0
"Dominican Rep.",1976,0,0,NA,1,0,0
"Dominican Rep.",1977,0,0,NA,1,0,0
"Dominican Rep.",1978,0,0,NA,1,0,0
"Dominican Rep.",1979,0,0,NA,1,0,0
"Dominican Rep.",1980,0,1,NA,1,0,0
"Dominican Rep.",1981,0,0,NA,1,0,0
"Dominican Rep.",1982,0,0,NA,1,1,0
"Dominican Rep.",1983,0,0,NA,1,1,0
"Dominican Rep.",1984,0,1,NA,1,1,0
"Dominican Rep.",1985,1,1,NA,1,1,0
"Dominican Rep.",1986,0,0,NA,1,1,0
"Dominican Rep.",1987,1,0,NA,1,1,0
"Dominican Rep.",1988,1,1,NA,1,1,0
